node_id,node_type,node_value,order_count,avg_risk_score,avg_risk_label,avg_delay_gap,total_sales,total_profit,node_risk_pressure,degree_centrality,pagerank,weighted_degree,graph_risk_centrality
shipping::First Class,shipping,First Class,27814,0.44629553148188816,1.596498166391026,1.0,5674369.758202553,643121.920739061,4.567089773632264,0.23373759647188533,0.043590787875473304,55628.0,0.29247986182778374
shipping::Second Class,shipping,Second Class,35216,0.4304079646965975,1.5684915947296683,1.9908280327124035,7145444.818358915,750308.170265433,4.506063304157112,0.23373759647188533,0.04458036722541991,70432.0,0.28478347327262504
supplier_proxy::Golf Apparel_Africa_Second Class,supplier_proxy,Golf Apparel_Africa_Second Class,6,0.5567273466367673,2.0,3.0,399.79999161,57.529997829,1.0833413940771208,0.0033076074972436605,0.0005721675360971317,18.0,0.27933361707671883
supplier_proxy::As Seen on TV!_LATAM_Second Class,supplier_proxy,As Seen on TV!_LATAM_Second Class,5,0.5376453504481356,1.8,2.6,1999.80002596,-464.56999974999997,0.963331147751883,0.0033076074972436605,0.0005827312751531992,15.0,0.26979525991716696
supplier_proxy::Boxing & MMA_Africa_Second Class,supplier_proxy,Boxing & MMA_Africa_Second Class,6,0.5339989150759347,2.0,2.3333333333333335,1044.4300232,-298.15999978,1.0391139084307877,0.0033076074972436605,0.0005724148895938624,18.0,0.2679694631346767
supplier_proxy::Cardio Equipment_Africa_First Class,supplier_proxy,Cardio Equipment_Africa_First Class,113,0.5289868415498626,1.9469026548672566,1.0,34596.57008344,6597.900013922,2.5053866581695643,0.0033076074972436605,0.0005692956172967417,339.0,0.2654626465535664
supplier_proxy::Girls' Apparel_LATAM_Second Class,supplier_proxy,Girls' Apparel_LATAM_Second Class,69,0.5229791172365602,1.7826086956521738,2.347826086956522,8099.3900372,879.5299971100001,2.2218742912707,0.0033076074972436605,0.0005967757130016954,207.0,0.2624656544208414
supplier_proxy::Trade-In_Pacific Asia_Second Class,supplier_proxy,Trade-In_Pacific Asia_Second Class,47,0.5222596767602137,1.851063829787234,2.25531914893617,2324.66997895,121.92999661399999,2.0217721886305675,0.0033076074972436605,0.0005919056215263454,141.0,0.26210471665979934
supplier_proxy::Boxing & MMA_LATAM_Second Class,supplier_proxy,Boxing & MMA_LATAM_Second Class,26,0.516237241839579,1.8461538461538463,2.1153846153846154,5922.72010804,1298.909994247,1.7014337332592768,0.0033076074972436605,0.000592615425160209,78.0,0.25909367665039046
supplier_proxy::Fitness Accessories_LATAM_Second Class,supplier_proxy,Fitness Accessories_LATAM_Second Class,17,0.5156466234274578,1.9411764705882353,2.2941176470588234,1644.53004818,237.809999946,1.4904104374092428,0.0033076074972436605,0.0005842339523075837,51.0,0.2587962720761167
